"file","n","hit","pct"
"R/arsau_analyze.R",60,0,0
"R/tpsuof.R",56,0,0
"R/vertex.R",100,0,0
"R/tps_hawkes_advanced.R",357,31,8.68347338935574
"R/fairness_metrics.R",93,13,13.9784946236559
"R/otis.R",351,63,17.948717948718
"R/tps_io.R",227,43,18.942731277533
"src/morie_matching.cpp",138,31,22.463768115942
"R/tps_fetch.R",89,20,22.4719101123596
"R/tps_statphysics.R",487,129,26.4887063655031
"R/spatial_voting.R",865,251,29.0173410404624
"R/otis_analyze.R",77,25,32.4675324675325
"R/dsp_filters.R",185,61,32.972972972973
"R/dsp_spectral.R",179,70,39.1061452513966
"R/ingest_cihi.R",39,16,41.025641025641
"R/dsp_detection.R",162,67,41.358024691358
"R/llm.R",250,105,42
"src/morie_spatial.cpp",248,109,43.9516129032258
"R/otis_all_analyze.R",1864,829,44.4742489270386
"R/arsau_datasets.R",221,102,46.1538461538462
"R/signal.R",448,216,48.2142857142857
"R/ingest_ckan.R",239,117,48.9539748953975
"R/fairness_gan.R",213,108,50.7042253521127
"R/siu_fetch.R",199,104,52.2613065326633
"R/dsp_waveform.R",166,88,53.0120481927711
"R/matching.R",1126,597,53.0195381882771
"R/datasets.R",290,160,55.1724137931034
"R/siu.R",1226,684,55.7911908646003
"R/ingest_statcan.R",104,59,56.7307692307692
"R/ingest_forensics.R",368,216,58.695652173913
"R/ingest_tps.R",93,55,59.1397849462366
"R/tps_datasets.R",64,38,59.375
"R/zzz_x_helpers.R",8,5,62.5
"R/ingest_bigquery.R",96,62,64.5833333333333
"R/entheo_dmt.R",291,193,66.3230240549828
"R/aaa_helpers_time_series_advanced.R",3,2,66.6666666666667
"R/tps_render.R",435,290,66.6666666666667
"R/did.R",1001,705,70.4295704295704
"R/iv.R",413,293,70.9443099273608
"R/otis_churn.R",731,519,70.9986320109439
"R/rdd.R",276,197,71.3768115942029
"R/effects.R",270,196,72.5925925925926
"R/tps_stochastic.R",430,321,74.6511627906977
"R/otis_causal.R",545,408,74.8623853211009
"R/ingest_chicago.R",124,93,75
"src/morie_hawkes.cpp",121,91,75.2066115702479
"R/arsau.R",355,275,77.4647887323944
"src/siu_parser.cpp",639,501,78.4037558685446
"R/psymet.R",160,130,81.25
"R/retlv.R",28,23,82.1428571428571
"R/describe.R",45,37,82.2222222222222
"R/mrm_primitives_ordinal.R",128,106,82.8125
"R/causal.R",316,262,82.9113924050633
"R/laniyonu_smi_force_disparity.R",247,207,83.8056680161943
"R/tokenizer.R",116,98,84.4827586206897
"R/variable_taxonomy.R",100,85,85
"R/siu_parser.R",391,333,85.1662404092072
"R/crypto_hybrid.R",57,49,85.9649122807018
"R/tables_pub.R",482,415,86.0995850622407
"R/survival.R",274,237,86.4963503649635
"R/investigation.R",160,139,86.875
"R/survey.R",157,137,87.2611464968153
"R/weights.R",333,292,87.6876876876877
"R/crypto_keystore.R",98,86,87.7551020408163
"R/tps_spatial_advanced.R",602,531,88.2059800664452
"R/hrzq1.R",35,31,88.5714285714286
"R/dataset.R",260,231,88.8461538461538
"R/xavir.R",28,25,89.2857142857143
"R/tps_spatial.R",357,322,90.1960784313726
"R/tps_crime.R",346,313,90.4624277456647
"R/siu_analyze.R",414,375,90.5797101449275
"R/database.R",329,299,90.8814589665653
"R/rgcrl.R",22,20,90.9090909090909
"R/mrm_samples.R",81,74,91.358024691358
"R/tps_temporal.R",347,318,91.64265129683
"R/sensitivity.R",381,350,91.8635170603675
"R/csphr.R",38,35,92.1052631578947
"R/mrm_mandela_spectrum.R",64,59,92.1875
"R/mrm_siu.R",92,85,92.3913043478261
"R/bootstrap_methods.R",428,397,92.7570093457944
"R/audit_variables.R",139,129,92.8057553956834
"R/rglyp.R",29,27,93.1034482758621
"R/ghcon.R",30,28,93.3333333333333
"R/laniyonu_actuarial_risk_disparity.R",339,317,93.5103244837758
"R/ghsve.R",31,29,93.5483870967742
"R/rgdfa.R",31,29,93.5483870967742
"R/fairness_predpol.R",219,205,93.6073059360731
"R/laniyonu_gentrification_policing.R",191,179,93.717277486911
"R/svmge.R",51,48,94.1176470588235
"R/kalmn.R",54,51,94.4444444444444
"R/tps_all_analyze.R",309,292,94.4983818770227
"R/entheo_data.R",110,104,94.5454545454545
"R/okrig.R",55,52,94.5454545454545
"R/wavts.R",37,35,94.5945945945946
"R/workflow.R",77,73,94.8051948051948
"R/fairness_temporal.R",160,152,95
"R/stat_commands.R",262,249,95.0381679389313
"R/stat_bridge.R",162,154,95.0617283950617
"R/rndsr.R",41,39,95.1219512195122
"R/tarmd.R",41,39,95.1219512195122
"R/cokrg.R",42,40,95.2380952380952
"R/indkr.R",42,40,95.2380952380952
"R/gbens.R",64,61,95.3125
"R/mrm_kulldorff.R",87,83,95.4022988505747
"R/longitudinal_sim.R",109,104,95.4128440366973
"R/fzlst.R",44,42,95.4545454545455
"R/hrzc1.R",44,42,95.4545454545455
"R/rghfd.R",22,21,95.4545454545455
"R/siuiap.R",44,42,95.4545454545455
"R/xgbst.R",68,65,95.5882352941177
"R/rgeeg.R",23,22,95.6521739130435
"R/spqkv.R",23,22,95.6521739130435
"R/gsrch.R",47,45,95.7446808510638
"R/mrm_primitives_gentrification.R",169,162,95.8579881656805
"R/validation.R",439,421,95.8997722095672
"R/diagnostics.R",440,422,95.9090909090909
"R/sptau.R",49,47,95.9183673469388
"R/tps_csi.R",196,188,95.9183673469388
"R/ukrig.R",74,71,95.945945945946
"R/ksr10.R",25,24,96
"R/vrgm.R",26,25,96.1538461538462
"R/tsnrd.R",27,26,96.2962962962963
"R/nstat.R",28,27,96.4285714285714
"R/rgstf.R",28,27,96.4285714285714
"R/mrm_primitives_spatial_spillover.R",170,164,96.4705882352941
"R/egrch.R",57,55,96.4912280701754
"R/mrm_tps.R",144,139,96.5277777777778
"R/frns_temporal.R",116,112,96.551724137931
"R/hrzi1.R",58,56,96.551724137931
"R/paths.R",29,28,96.551724137931
"R/rgcoh.R",29,28,96.551724137931
"R/rgpsd.R",29,28,96.551724137931
"R/rkhsf.R",29,28,96.551724137931
"R/mrm_uof.R",678,655,96.6076696165192
"R/spblk.R",60,58,96.6666666666667
"R/gbgen.R",61,59,96.7213114754098
"R/lstmc.R",32,31,96.875
"R/sptrn.R",32,31,96.875
"R/vines.R",32,31,96.875
"R/fairness_xai.R",230,223,96.9565217391304
"R/ksr19.R",33,32,96.969696969697
"R/polrz.R",33,32,96.969696969697
"R/hrzp1.R",34,33,97.0588235294118
"R/grucl.R",35,34,97.1428571428571
"R/rgztn.R",35,34,97.1428571428571
"R/ghcls.R",36,35,97.2222222222222
"R/svmkr.R",36,35,97.2222222222222
"R/rfens.R",37,36,97.2972972972973
"R/mrm_primitives_synthetic_exposure.R",191,186,97.3821989528796
"R/gcvgn.R",39,38,97.4358974358974
"R/gwreg.R",39,38,97.4358974358974
"R/stvar.R",39,38,97.4358974358974
"R/hawkes_fit.R",198,193,97.4747474747475
"R/stacv.R",41,40,97.5609756097561
"R/statistics.R",667,651,97.6011994002998
"R/mrkvr.R",42,41,97.6190476190476
"R/irtsp.R",86,84,97.6744186046512
"R/stkrg.R",43,42,97.6744186046512
"R/fzcvm.R",44,43,97.7272727272727
"R/dataset_profile.R",90,88,97.7777777777778
"R/coitg.R",46,45,97.8260869565217
"R/hrzd1.R",47,46,97.8723404255319
"R/aniso.R",49,48,97.9591836734694
"R/vecmf.R",51,50,98.0392156862745
"R/dtrsp.R",56,55,98.2142857142857
"R/otis_tps_overlay.R",168,165,98.2142857142857
"R/data_access.R",225,221,98.2222222222222
"R/semipar_bridge.R",172,169,98.2558139534884
"R/entheo_analysis.R",126,124,98.4126984126984
"R/study_core.R",894,881,98.5458612975391
"R/inspector.R",72,71,98.6111111111111
"R/ml.R",80,79,98.75
"R/mrm_arsau.R",244,241,98.7704918032787
"R/dccmd.R",84,83,98.8095238095238
"R/mrm_doe.R",267,264,98.876404494382
"R/multiple_testing.R",455,450,98.9010989010989
"R/sampling.R",98,97,98.9795918367347
"R/mrm_lisa.R",106,105,99.0566037735849
"R/inference.R",234,232,99.1452991452991
"R/entheo_preprocess.R",118,117,99.1525423728814
"R/sprott_doob.R",547,543,99.2687385740402
"R/mrm_otis.R",144,143,99.3055555555556
"R/modules.R",146,145,99.3150684931507
"R/effect_sizes.R",331,329,99.3957703927492
"R/synthetic.R",166,165,99.3975903614458
"R/study_reporting.R",548,545,99.4525547445255
"R/frns_predpol.R",210,209,99.5238095238095
"R/frns_metrics.R",315,314,99.6825396825397
"R/aaa_helpers_det_rng.R",24,24,100
"R/aaa_helpers_fauzi.R",6,6,100
"R/aaa_helpers_ghosal_bnp.R",33,33,100
"R/aaa_helpers_horowitz.R",75,75,100
"R/aaa_helpers_llm_arch.R",12,12,100
"R/aaa_helpers_montesinos.R",24,24,100
"R/accgp.R",39,39,100
"R/agset.R",28,28,100
"R/algnm.R",40,40,100
"R/antth.R",24,24,100
"R/archm.R",40,40,100
"R/attnq.R",15,15,100
"R/bglup.R",69,69,100
"R/bkprp.R",38,38,100
"R/blasf.R",61,61,100
"R/bnfwd.R",13,13,100
"R/bpblm.R",10,10,100
"R/brdgf.R",52,52,100
"R/brdgr.R",29,29,100
"R/brreg.R",27,27,100
"R/btsrp.R",59,59,100
"R/bysid.R",78,78,100
"R/cncrd.R",43,43,100
"R/cndrc.R",16,16,100
"R/cnn1d.R",15,15,100
"R/cnn2d.R",25,25,100
"R/cnnge.R",79,79,100
"R/cntgc.R",27,27,100
"R/cntrl.R",17,17,100
"R/cohrc.R",37,37,100
"R/confm.R",38,38,100
"R/copul.R",24,24,100
"R/cov2s.R",24,24,100
"R/covsp.R",20,20,100
"R/cpads.R",72,72,100
"R/cslat.R",10,10,100
"R/cslnc.R",16,16,100
"R/ctmed.R",31,31,100
"R/ctrlc.R",39,39,100
"R/dataset_catalog.R",340,340,100
"R/dbscl.R",21,21,100
"R/diffu.R",38,38,100
"R/dimrd.R",31,31,100
"R/dlgen.R",43,43,100
"R/doob_trends.R",295,295,100
"R/drpfw.R",18,18,100
"R/dwnmn.R",42,42,100
"R/ebac.R",5,5,100
"R/ewtma.R",16,16,100
"R/explain.R",245,245,100
"R/extvm.R",36,36,100
"R/fairness_cityprofile.R",96,96,100
"R/fairness_simulation.R",86,86,100
"R/fast.R",23,23,100
"R/flsha.R",33,33,100
"R/fwpas.R",26,26,100
"R/fzbrd.R",20,20,100
"R/fzedg.R",21,21,100
"R/fzhdc.R",51,51,100
"R/fzhok.R",18,18,100
"R/fzkdf.R",22,22,100
"R/fzksm.R",31,31,100
"R/fzmis.R",22,22,100
"R/fzmrb.R",34,34,100
"R/fzmrl.R",32,32,100
"R/fzqnt.R",23,23,100
"R/fzsgn.R",21,21,100
"R/fzsrv.R",20,20,100
"R/fzwlc.R",39,39,100
"R/ganls.R",17,17,100
"R/garch.R",46,46,100
"R/gblpf.R",35,35,100
"R/ghadp.R",9,9,100
"R/ghbvm.R",31,31,100
"R/ghcrt.R",14,14,100
"R/ghdir.R",21,21,100
"R/ghdpm.R",70,70,100
"R/ghebp.R",23,23,100
"R/ghgpm.R",48,48,100
"R/ghgps.R",31,31,100
"R/ghhbp.R",32,32,100
"R/ghlgd.R",38,38,100
"R/ghmmt.R",17,17,100
"R/ghntr.R",14,14,100
"R/ghreg.R",20,20,100
"R/ghsrv.R",14,14,100
"R/ghstk.R",21,21,100
"R/ghtst.R",26,26,100
"R/ghwav.R",44,44,100
"R/gpfit.R",40,40,100
"R/grdcl.R",18,18,100
"R/grdds.R",24,24,100
"R/grpqa.R",37,37,100
"R/gxemd.R",47,47,100
"R/heinz.R",23,23,100
"R/hrzb1.R",54,54,100
"R/hrzb2.R",44,44,100
"R/hrzi2.R",29,29,100
"R/hrzk1.R",23,23,100
"R/hrzk2.R",25,25,100
"R/hrzk3.R",37,37,100
"R/hrzm1.R",35,35,100
"R/hrzn1.R",49,49,100
"R/hrzn2.R",34,34,100
"R/hrzp2.R",16,16,100
"R/hrzs1.R",37,37,100
"R/hrzt1.R",55,55,100
"R/hrzt2.R",43,43,100
"R/hrzw1.R",35,35,100
"R/hrzw2.R",35,35,100
"R/idlpt.R",17,17,100
"R/impsm.R",20,20,100
"R/ipw_weights.R",12,12,100
"R/ipw.R",156,156,100
"R/irm.R",33,33,100
"R/isotn.R",25,25,100
"R/jkest.R",24,24,100
"R/johsn.R",55,55,100
"R/kmnsc.R",17,17,100
"R/ksr01.R",12,12,100
"R/ksr02.R",11,11,100
"R/ksr03.R",9,9,100
"R/ksr04.R",10,10,100
"R/ksr05.R",6,6,100
"R/ksr06.R",14,14,100
"R/ksr07.R",14,14,100
"R/ksr08.R",15,15,100
"R/ksr09.R",23,23,100
"R/ksr11.R",15,15,100
"R/ksr12.R",14,14,100
"R/ksr13.R",12,12,100
"R/ksr14.R",14,14,100
"R/ksr15.R",10,10,100
"R/ksr16.R",14,14,100
"R/ksr17.R",7,7,100
"R/ksr18.R",26,26,100
"R/ksr20.R",27,27,100
"R/ktaup.R",36,36,100
"R/kvcmp.R",12,12,100
"R/latnh.R",15,15,100
"R/license_check.R",31,31,100
"R/linrg.R",15,15,100
"R/lradw.R",8,8,100
"R/lrcvg.R",38,38,100
"R/mandela.R",62,62,100
"R/manifest.R",127,127,100
"R/mbgrd.R",28,28,100
"R/mcint.R",9,9,100
"R/mdrnk.R",23,23,100
"R/mdspl.R",29,29,100
"R/mdvtr.R",16,16,100
"R/mhatf.R",44,44,100
"R/midas.R",43,43,100
"R/mnpbt.R",22,22,100
"R/moeml.R",38,38,100
"R/mrm_design.R",153,153,100
"R/mrm_diagnostics.R",141,141,100
"R/mrm_mathstats.R",115,115,100
"R/mtgbl.R",32,32,100
"R/mxpol.R",23,23,100
"R/nbeat.R",43,43,100
"R/optcl.R",35,35,100
"R/ordct.R",32,32,100
"R/ordlt_jonckheere.R",32,32,100
"R/pcadm.R",22,22,100
"R/pctmr.R",31,31,100
"R/penls.R",62,62,100
"R/permt.R",34,34,100
"R/perseus.R",31,31,100
"R/plcmt.R",27,27,100
"R/polrg.R",32,32,100
"R/posab.R",17,17,100
"R/pplxm.R",11,11,100
"R/propc.R",22,22,100
"R/pspln.R",33,33,100
"R/quntf.R",26,26,100
"R/rcall.R",24,24,100
"R/regms.R",70,70,100
"R/rfgen.R",58,58,100
"R/rgadp.R",15,15,100
"R/rgapn.R",19,19,100
"R/rgarb.R",23,23,100
"R/rgemg.R",9,9,100
"R/rgenv.R",21,21,100
"R/rgfir.R",23,23,100
"R/rghrv.R",13,13,100
"R/rgiir.R",11,11,100
"R/rgqrs.R",38,38,100
"R/rgsam.R",19,19,100
"R/rgwav.R",34,34,100
"R/rgzcr.R",14,14,100
"R/rkhsc.R",25,25,100
"R/rlhfd.R",9,9,100
"R/rmsnr.R",5,5,100
"R/rnkbs.R",23,23,100
"R/rnkor.R",28,28,100
"R/rnnge.R",61,61,100
"R/rocau.R",28,28,100
"R/rotrp.R",24,24,100
"R/rptpn.R",14,14,100
"R/rslnk.R",9,9,100
"R/sarla.R",34,34,100
"R/sarre.R",40,40,100
"R/sglm.R",47,47,100
"R/sgnpw.R",42,42,100
"R/smixd.R",53,53,100
"R/sobls.R",31,31,100
"R/spcrs.R",36,36,100
"R/specf.R",27,27,100
"R/sptag.R",23,23,100
"R/ssmod.R",60,60,100
"R/strat.R",26,26,100
"R/sukht.R",30,30,100
"R/svmhg.R",23,23,100
"R/swigl.R",14,14,100
"R/tgrch.R",58,58,100
"R/thfdt.R",27,27,100
"R/tknbp.R",51,51,100
"R/tmpsc.R",7,7,100
"R/tolim.R",20,20,100
"R/topkd.R",13,13,100
"R/toppd.R",16,16,100
"R/tpspn.R",30,30,100
"R/trfbl.R",26,26,100
"R/trfge.R",56,56,100
"R/ucmod.R",21,21,100
"R/unfdl.R",54,54,100
"R/vaenc.R",29,29,100
"R/vdwrd.R",26,26,100
"R/vrgft.R",54,54,100
"R/vtpwr.R",55,55,100
"R/wdemb.R",14,14,100
"R/wnom.R",30,30,100
"R/wsrpw.R",31,31,100
"src/morie_core.h",197,197,100
"src/morie_dsp.cpp",158,158,100
"src/morie_fast.cpp",30,30,100
